;;CV MAKMUR BESAR BERSAMA;;;;;;;;
;;Kuantitas Barang per Gudang;;;;;;;;
;;Per Tgl. 19 Jan 2026;;;;;;;;
;;"Cabang : Kantor Pusat, Baby, Bali Area, Jakarta, Jawa Timur, Lombok NTT, NTT, Online, Papua, Gudang : Warehouse Jakarta, Ware ...";;;;;;;;
Nama Barang;;;Kode Barang;Warehouse Bali Gatsu - Box;Warehouse Bali Gatsu - Protolan;Warehouse Jakarta;Warehouse Pusat;Warehouse Pusat Reject;Total Nama Gudang;
;;;Total Kode Barang;"-21,";"-1,";"-36,";"-132,";"0,";"-190,";
"BABY DISNEY MILTON 1, 21/22, ALL BLACK";;;Z2MT01Z22;"-20,";"0,";"-8,";"-44,";"0,";"-72,";
;;;Total Kode Barang;"-20,";"0,";"-8,";"-44,";"0,";"-72,";
"BABY DISNEY MILTON 1, 23/24, ALL BLACK";;;Z2MT01Z24;"-25,";"0,";"-9,";"-55,";"0,";"-89,";
;;;Total Kode Barang;"-25,";"0,";"-9,";"-55,";"0,";"-89,";
"BABY DISNEY MILTON 1, 25/26, ALL BLACK";;;Z2MT01Z26;"-15,";"0,";"-7,";"-33,";"0,";"-55,";
;;;Total Kode Barang;"-15,";"0,";"-7,";"-33,";"0,";"-55,";
"BABY DISNEY MILTON 2, 21/22, OLIVE";;;Z2MT02Z22;"-20,";"0,";"-8,";"-32,";"0,";"-60,";
;;;Total Kode Barang;"-20,";"0,";"-8,";"-32,";"0,";"-60,";
"BABY DISNEY MILTON 2, 23/24, OLIVE";;;Z2MT02Z24;"-25,";"0,";"-9,";"-40,";"0,";"-74,";
;;;Total Kode Barang;"-25,";"0,";"-9,";"-40,";"0,";"-74,";
"BABY DISNEY MILTON 2, 25/26, OLIVE";;;Z2MT02Z26;"-15,";"0,";"-7,";"-24,";"0,";"-46,";
;;;Total Kode Barang;"-15,";"0,";"-7,";"-24,";"0,";"-46,";
"BABY DISNEY MILTON 3, 21/22, CAMEL";;;Z2MT03Z22;"-20,";"0,";"-8,";"-44,";"0,";"-72,";
;;;Total Kode Barang;"-20,";"0,";"-8,";"-44,";"0,";"-72,";
"BABY DISNEY MILTON 3, 23/24, CAMEL";;;Z2MT03Z24;"-25,";"0,";"-9,";"-55,";"0,";"-89,";
;;;Total Kode Barang;"-25,";"0,";"-9,";"-55,";"0,";"-89,";
"BABY DISNEY MILTON 3, 25/26, CAMEL";;;Z2MT03Z26;"-15,";"0,";"-7,";"-33,";"0,";"-55,";
;;;Total Kode Barang;"-15,";"0,";"-7,";"-33,";"0,";"-55,";
"BABY DISNEY MINNIE 1, 21/22, LAVENDER";;;Z2DI01Z22;"-40,";"0,";"-28,";"-200,";"0,";"-268,";
;;;Total Kode Barang;"-40,";"0,";"-28,";"-200,";"0,";"-268,";
"BABY DISNEY MINNIE 1, 23/24, LAVENDER";;;Z2DI01Z24;"-50,";"0,";"-25,";"-250,";"0,";"-325,";
;;;Total Kode Barang;"-50,";"0,";"-25,";"-250,";"0,";"-325,";
"BABY DISNEY MINNIE 1, 25/26, LAVENDER";;;Z2DI01Z26;"-30,";"0,";"-15,";"-150,";"0,";"-195,";
;;;Total Kode Barang;"-30,";"0,";"-15,";"-150,";"0,";"-195,";
"BABY DISNEY MINNIE 2, 21/22, BLUSH NUDE";;;Z2DI02Z22;"-56,";"-1,";"-4,";"-4,";"0,";"-65,";
;;;Total Kode Barang;"-56,";"-1,";"-4,";"-4,";"0,";"-65,";
"BABY DISNEY MINNIE 2, 23/24, BLUSH NUDE";;;Z2DI02Z24;"-70,";"0,";"-15,";"-5,";"0,";"-90,";
;;;Total Kode Barang;"-70,";"0,";"-15,";"-5,";"0,";"-90,";
"BABY DISNEY MINNIE 2, 25/26, BLUSH NUDE";;;Z2DI02Z26;"-42,";"0,";"-9,";"-3,";"0,";"-54,";
;;;Total Kode Barang;"-42,";"0,";"-9,";"-3,";"0,";"-54,";
"BABY DISNEY OXFORD 1, 21/22, COFFEE";;;Z2OX01Z22;"-20,";"0,";"-4,";"-36,";"0,";"-60,";
;;;Total Kode Barang;"-20,";"0,";"-4,";"-36,";"0,";"-60,";
"BABY DISNEY OXFORD 1, 23/24, COFFEE";;;Z2OX01Z24;"-25,";"0,";"-5,";"-45,";"0,";"-75,";
;;;Total Kode Barang;"-25,";"0,";"-5,";"-45,";"0,";"-75,";
"BABY DISNEY OXFORD 1, 25/26, COFFEE";;;Z2OX01Z26;"-15,";"0,";"-3,";"-27,";"0,";"-45,";
;;;Total Kode Barang;"-15,";"0,";"-3,";"-27,";"0,";"-45,";
"BABY DISNEY OXFORD 2, 21/22, NAVY";;;Z2OX02Z22;"-20,";"0,";"-4,";"-24,";"0,";"-48,";
;;;Total Kode Barang;"-20,";"0,";"-4,";"-24,";"0,";"-48,";
"BABY DISNEY OXFORD 2, 23/24, NAVY";;;Z2OX02Z24;"-25,";"0,";"-5,";"-30,";"0,";"-60,";
;;;Total Kode Barang;"-25,";"0,";"-5,";"-30,";"0,";"-60,";
"BABY DISNEY OXFORD 2, 25/26, NAVY";;;Z2OX02Z26;"-15,";"0,";"-3,";"-18,";"0,";"-36,";
;;;Total Kode Barang;"-15,";"0,";"-3,";"-18,";"0,";"-36,";
"BABY DISNEY OXFORD 3, 21/22, BEIGE";;;Z2OX03Z22;"-20,";"0,";"-4,";"-24,";"0,";"-48,";
;;;Total Kode Barang;"-20,";"0,";"-4,";"-24,";"0,";"-48,";
"BABY DISNEY OXFORD 3, 23/24, BEIGE";;;Z2OX03Z24;"-25,";"0,";"-5,";"-30,";"0,";"-60,";
;;;Total Kode Barang;"-25,";"0,";"-5,";"-30,";"0,";"-60,";
"BABY DISNEY OXFORD 3, 25/26, BEIGE";;;Z2OX03Z26;"-15,";"0,";"-3,";"-18,";"0,";"-36,";
;;;Total Kode Barang;"-15,";"0,";"-3,";"-18,";"0,";"-36,";
"BABY GIRLS CLASSIC 3, 21/22, CANDY PINK";;;Z2CAV103Z21;"0,";"-3,";"-32,";"0,";"0,";"-35,";
;;;Total Kode Barang;"0,";"-3,";"-32,";"0,";"0,";"-35,";
"BABY GIRLS CLASSIC 3, 23/24, CANDY PINK";;;Z2CAV103Z23;"0,";"-7,";"-40,";"0,";"0,";"-47,";
;;;Total Kode Barang;"0,";"-7,";"-40,";"0,";"0,";"-47,";
"BABY GIRLS CLASSIC 3, 25/26, CANDY PINK";;;Z2CAV103Z25;"0,";"-2,";"-24,";"0,";"0,";"-26,";
;;;Total Kode Barang;"0,";"-2,";"-24,";"0,";"0,";"-26,";
"BABY GIRLS COLLAB 1, 21/22, DISNEY MICKEY & FRIENDS PINK";;;Z2MF01Z21;"0,";"-4,";"-8,";"-8,";"0,";"-20,";
;;;Total Kode Barang;"0,";"-4,";"-8,";"-8,";"0,";"-20,";
"BABY GIRLS COLLAB 1, 21/22, PINK";;;Z2GC01Z21;"0,";"-13,";"0,";"-4,";"0,";"-17,";
;;;Total Kode Barang;"0,";"-13,";"0,";"-4,";"0,";"-17,";
"BABY GIRLS COLLAB 1, 23/24, DISNEY MICKEY & FRIENDS PINK";;;Z2MF01Z23;"0,";"-4,";"-10,";"-10,";"0,";"-24,";
;;;Total Kode Barang;"0,";"-4,";"-10,";"-10,";"0,";"-24,";
"BABY GIRLS COLLAB 1, 23/24, PINK";;;Z2GC01Z23;"0,";"-10,";"-7,";"-5,";"0,";"-22,";
;;;Total Kode Barang;"0,";"-10,";"-7,";"-5,";"0,";"-22,";
"BABY GIRLS COLLAB 1, 25/26, DISNEY MICKEY & FRIENDS PINK";;;Z2MF01Z25;"0,";"-1,";"-6,";"-6,";"0,";"-13,";
;;;Total Kode Barang;"0,";"-1,";"-6,";"-6,";"0,";"-13,";
"BABY GIRLS COLLAB 1, 25/26, PINK";;;Z2GC01Z25;"0,";"-3,";"-4,";"-3,";"0,";"-10,";
;;;Total Kode Barang;"0,";"-3,";"-4,";"-3,";"0,";"-10,";
"BABY GIRLS PRINCESS ARIEL 3, 21/22, GREEN";;;Z2PS03Z22;"0,";"-10,";"0,";"0,";"0,";"-10,";
;;;Total Kode Barang;"0,";"-10,";"0,";"0,";"0,";"-10,";
"BABY GIRLS PRINCESS ARIEL 3, 23/24, GREEN";;;Z2PS03Z24;"0,";"-9,";"0,";"0,";"0,";"-9,";
;;;Total Kode Barang;"0,";"-9,";"0,";"0,";"0,";"-9,";
"BABY GIRLS PRINCESS ARIEL 3, 25/26, GREEN";;;Z2PS03Z26;"0,";"-1,";"0,";"0,";"0,";"-1,";
;;;Total Kode Barang;"0,";"-1,";"0,";"0,";"0,";"-1,";
"BABY GIRLS PRINCESS BELLE 2, 21/22, YELLOW";;;Z2PS02Z22;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS BELLE 2, 23/24, YELLOW";;;Z2PS02Z24;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS BELLE 2, 25/26, YELLOW";;;Z2PS02Z26;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS CINDERELLA 4, 21/22, BLUE";;;Z2PS04Z22;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS CINDERELLA 4, 23/24, BLUE";;;Z2PS04Z24;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS CINDERELLA 4, 25/26, BLUE";;;Z2PS04Z26;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Total Kode Barang;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS SNOW WHITE 1, 21/22, RED";;;Z2PS01Z22;"0,";"-4,";"-4,";"0,";"0,";"-8,";
;;;Total Kode Barang;"0,";"-4,";"-4,";"0,";"0,";"-8,";
